food_name,production_name,check_num,qualified_num,unqualified_num,production_address,food_product_time,food_model,check_flag,sampling_name,sampling_province,check_projiect
碧螺春（茶叶）,苏州洞庭西螺茶叶有限公司（制造商）；信阳市浉河区天潭茶叶有限公司（授权商）,2,0,2,苏州市南环西路25号（制造商地址）；信阳市浉河区吴家店镇南街（授权商地址）,2014-9-11,100g/袋,不合格 三氯杀螨醇║0.991mg/kg║,确山县福旺旺商业有限公司泌阳连锁店,,包括重金属、农药残留、食品添加剂、微生物指标等35个指标。
碧螺春（茶叶）,苏州洞庭西螺茶叶有限公司（制造商）；信阳市浉河区天潭茶叶有限公司（授权商）,2,0,2,苏州市南环西路25号（制造商地址）；信阳市浉河区吴家店镇南街（授权商地址）,2014-9-11,100g/袋,不合格 三氯杀螨醇║0.991mg/kg║,确山县福旺旺商业有限公司泌阳连锁店,,包括重金属、农药残留、食品添加剂、微生物指标等35个指标。
柠檬茶（代用茶）,汕头市金峰食品实业有限公司,2,0,2,汕头市大学路升业大厦第二层03号厂房,2014-10-12,3X12包/盒,不合格 铅║4mg/kg║,广东美佳乐购物广场有限公司商品城分公司,,包括茶叶及其相关制品中重金属、农药残留、食品添加剂和微生物指标等35个项目。
柠檬茶（代用茶）,汕头市金峰食品实业有限公司,2,0,2,汕头市大学路升业大厦第二层03号厂房,2014-10-12,3X12包/盒,不合格 铅║4mg/kg║,广东美佳乐购物广场有限公司商品城分公司,,包括茶叶及其相关制品中重金属、农药残留、食品添加剂和微生物指标等35个项目。
玉竹薏苡仁代用茶型,珠海李氏百草凉茶有限公司,2,0,2,珠海市斗门区斗门镇八甲村水田项,2014-6-4,40g/盒,不合格 铅║4.2mg/kg║,湛江市金永安大药房连锁有限公司龙潮分店,,包括茶叶及其相关制品中重金属、农药残留、食品添加剂和微生物指标等35个项目。
玉竹薏苡仁代用茶型,珠海李氏百草凉茶有限公司,2,0,2,珠海市斗门区斗门镇八甲村水田项,2014-6-4,40g/盒,不合格 铅║4.2mg/kg║,湛江市金永安大药房连锁有限公司龙潮分店,,包括茶叶及其相关制品中重金属、农药残留、食品添加剂和微生物指标等35个项目。
口苦口臭茶（代用茶）,广东豪爽天然保健食品有限公司,2,0,2,广东省连州市城南开发区,2014-8-3,30g/盒,不合格 铅║2.6mg/kg║,湛江市金永安大药房连锁有限公司龙潮分店,,包括茶叶及其相关制品中重金属、农药残留、食品添加剂和微生物指标等35个项目。
口苦口臭茶（代用茶）,广东豪爽天然保健食品有限公司,2,0,2,广东省连州市城南开发区,2014-8-3,30g/盒,不合格 铅║2.6mg/kg║,湛江市金永安大药房连锁有限公司龙潮分店,,包括茶叶及其相关制品中重金属、农药残留、食品添加剂和微生物指标等35个项目。
豪爽溪黄茶R代用茶,广东豪爽天然保健食品有限公司,2,0,2,连州市城南开发区,2014-8-3,100克/罐,不合格 铅║2.9mg/kg║,湛江天马大药房连锁有限公司泉庄分店,,包括茶叶及其相关制品中重金属、农药残留、食品添加剂和微生物指标等35个项目。
豪爽溪黄茶R代用茶,广东豪爽天然保健食品有限公司,2,0,2,连州市城南开发区,2014-8-3,100克/罐,不合格 铅║2.9mg/kg║,湛江天马大药房连锁有限公司泉庄分店,,包括茶叶及其相关制品中重金属、农药残留、食品添加剂和微生物指标等35个项目。
桂花,汕头市永康保健品有限公司,2,0,2,汕头市濠江区海旁路45号东侧2楼、3楼,2014-9-2,40克/罐,不合格 二氧化硫║0.358g/kg║；铅║3.2mg/kg║,饶平县金恒晟购物广场有限公司,,包括茶叶及其相关制品中重金属、农药残留、食品添加剂和微生物指标等35个项目。
桂花,汕头市永康保健品有限公司,2,0,2,汕头市濠江区海旁路45号东侧2楼、3楼,2014-9-2,40克/罐,不合格 二氧化硫║0.358g/kg║；铅║3.2mg/kg║,饶平县金恒晟购物广场有限公司,,包括茶叶及其相关制品中重金属、农药残留、食品添加剂和微生物指标等35个项目。
桑抹茶,杭州山地茶业有限公司,2,0,2,西湖区龙坞镇唐家桥,2014-8-8,180g/盒,不合格 大肠菌群║230MPN/100g║,杭州山地茶业有限公司,,包括茶叶及其相关制品中重金属、农药残留、食品添加剂和微生物指标等35个项目。
桑抹茶,杭州山地茶业有限公司,2,0,2,西湖区龙坞镇唐家桥,2014-8-8,180g/盒,不合格 大肠菌群║230MPN/100g║,杭州山地茶业有限公司,,包括茶叶及其相关制品中重金属、农药残留、食品添加剂和微生物指标等35个项目。
贡菊八宝茶,亳州八方饮品有限公司,2,0,2,安徽省亳州市谯城区光明东路,2014-11-1,150g/袋,不合格 二氧化硫║437mg/kg║,亳州八方饮品有限公司,,包括重金属、农药残留、食品添加剂、微生物指标等35个指标。
贡菊八宝茶,亳州八方饮品有限公司,2,0,2,安徽省亳州市谯城区光明东路,2014-11-1,150g/袋,不合格 二氧化硫║437mg/kg║,亳州八方饮品有限公司,,包括重金属、农药残留、食品添加剂、微生物指标等35个指标。
碧螺春（茶叶）,苏州洞庭西螺茶叶有限公司（制造商）；信阳市浉河区天潭茶叶有限公司（授权商）,2,0,2,苏州市南环西路25号（制造商地址）；信阳市浉河区吴家店镇南街（授权商地址）,2014-9-11,100g/袋,不合格 三氯杀螨醇║0.991mg/kg║,确山县福旺旺商业有限公司泌阳连锁店,,包括重金属、农药残留、食品添加剂、微生物指标等35个指标。
碧螺春（茶叶）,苏州洞庭西螺茶叶有限公司（制造商）；信阳市浉河区天潭茶叶有限公司（授权商）,2,0,2,苏州市南环西路25号（制造商地址）；信阳市浉河区吴家店镇南街（授权商地址）,2014-9-11,100g/袋,不合格 三氯杀螨醇║0.991mg/kg║,确山县福旺旺商业有限公司泌阳连锁店,,包括重金属、农药残留、食品添加剂、微生物指标等35个指标。
