food_name,production_name,check_num,qualified_num,unqualified_num,production_address,food_product_time,food_model,check_flag,sampling_name,sampling_province,check_projiect
同财酸菜,双城市君雨酱菜厂,1,0,1,双城市同心乡新富村,2016-09-01,750克/袋,不合格 二氧化硫‖0.142 g/kg‖≤0.1 g/kg,方正县客来悦食品超市,,
金针菇,安徽省砀山县双联罐头食品厂,1,0,1,砀山城关镇西城工业区,2016-04-01,1000g/袋,不合格 二氧化硫残留量║0.646g/kg║≤0.05g/kg,新密市超化镇昌汇水产门市,,
泡椒金针菇（调味食用菌）,四川眉山市吉吉高食品有限公司,1,0,1,四川省眉山市东坡区太和镇龙亭九组,2016-07-25,230g/瓶,不合格 乙二胺四乙酸二钠║0.238g/kg║不得检出g/kg,金华大润发商业有限公司,,
本色银耳,古田县兴业食用菌有限公司扬州分公司,1,0,1,扬州市广陵区食品工业园鼎兴路32号,2016-07-30,120g/袋,不合格 二氧化硫║1.01g/kg║≤0.05g/kg,江苏乐天玛特商业有限公司金华店,,
面丁,/,1,0,1,/,2016-11-23,7.5kg/箱（散装称重）,不合格 日落黄║0.11g/kg║不得使用,秭归玉米香食品有限公司,,
干黄瓜,/,1,0,1,/,2016-11-03,散装称重,不合格 二氧化硫||0.36||≤0.2,赛罕区苏味副食调味品经销部,,
干莴笋,/,1,0,1,/,2016-11-03,散装称重,不合格 柠檬黄及其铝色淀（以柠檬黄计）||0.086||不得检出； 亮蓝及其铝色淀（以亮蓝计）||0.017||不得检出,赛罕区苏味副食调味品经销部,,
香辣大根,开原市东升食品有限公司,1,0,1,辽宁省开原市老城街头道沟村,2016-08-30,88g/袋,不合格 防腐剂各自用量占其最大使用量的比例之和║1.21║≤1；糖精钠║0.20g/kg║≤0.15g/kg,四平市铁西区万福来购物中心,,
油椒辣丁,牡丹江市西安区永泰调味品厂,1,0,1,牡丹江市西安区温春镇新立村,2016-09-12,90g/袋,不合格 苯甲酸║3.09g/kg║≤1.0g/kg,梨树县梨树镇金亿超市,,
辣白菜,海南辛香塬食品有限公司,1,0,1,海南省海口市新大洲大道三横路54号,2016-05-17,60克/袋,不合格 大肠菌群║230MPN/100g║≤30MPN/100g,海南辛香塬食品有限公司,,
水晶蒜,天津市福荣腌制食品厂,1,0,1,静海县陈官屯镇北长屯村104国道158.8公里处,2016-03-13,180g/袋,不合格 苯甲酸║1.20g/kg║≤1.0g/kg；糖精钠║0.36g/kg║≤0.15g/kg；防腐剂各自用量占其最大使用量的比例之和║1.23║≤1,吉林省佳乐加商贸有限公司,,
八宝菜,牡丹江市富利食品有限公司,1,0,1,黑龙江省牡丹江市东安区兴隆镇兴隆村八面通街南,2016-05-23,88g/袋,不合格 苯甲酸║1.17g/kg║≤1.0g/kg；防腐剂各自用量占其最大使用量的比例之和║1.60║≤1,敦化市欢乐购食品超市,,
香辣大根,牡丹江市富利食品有限公司,1,0,1,黑龙江省牡丹江市东安区兴隆镇兴隆村八面通街南,2016-05-23,88g/袋,不合格 防腐剂各自用量占其最大使用量的比例之和║1.26║≤1,敦化市欢乐购食品超市,,
小川椒,牡丹江市西安区永泰调味品厂,1,0,1,牡丹江市西安区温春镇新立村,2016-08-15,90g/袋,不合格 苯甲酸║3.06g/kg║≤1.0g/kg,敦化市欢乐购食品超市,,
油泼黄瓜,牡丹江市西安区永泰调味品厂,1,0,1,牡丹江市西安区温春镇新立村,2016-08-02,90g/袋,不合格 苯甲酸║2.30g/kg║≤1.0g/kg,敦化市家得乐大卖场,,
野山椒,高要市蛟塘天然果品厂,1,0,1,高要市蛟塘镇中学侧,2016-03-02,280克/瓶,不合格 苯甲酸及其钠盐（以苯甲酸计）‖1.50g/kg‖≤1.0g/kg,广州佐汇贸易有限公司,,
香辣芥丝,开原市东升食品有限公司,1,0,1,辽宁省开原市老城街头道沟村,2016-08-29,88g/袋,不合格 防腐剂各自用量占其最大使用量的比例之和║1.60║≤1；日落黄║0.021g/kg║不得检出,四平市铁西区万福来购物中心,,
辰麒山珍,五常市沙河子镇源奇山珍加工厂,1,0,1,哈尔滨市五常市沙河子镇,2016-05-05,3000g/桶,不合格 二氧化硫‖0.157 g/kg‖不得检出；乙二胺四乙酸二钠‖0.309 g/kg‖不得检出,铁锋区站前市场泓颜鲜菌批发行,,
辰禹美味山珍,五常市沙河子镇源奇山珍加工厂,1,0,1,哈尔滨市五常市沙河子镇,2016-10-01,3000g/桶,不合格 二氧化硫‖0.115 g/kg‖不得检出；乙二胺四乙酸二钠‖0.202 g/kg‖不得检出,铁锋区站前市场泓颜鲜菌批发行,,
松茸,中国·黑龙江省伊春市兴安塔有机食品有限公司,1,0,1,黑龙江省伊春市伊春区朝阳路2-11号,2016-11-01,200g/盒,不合格 总砷（以As计）‖23 mg/kg‖≤5.8 mg/kg；镉（以Cd计）‖14 mg/kg‖≤2.3 mg/kg,黑龙江农垦龙博经贸有限公司,,
同财酸菜,双城市君雨酱菜厂,1,0,1,双城市同心乡新富村,2016-09-01,750克/袋,不合格 二氧化硫‖0.142 g/kg‖≤0.1 g/kg,方正县客来悦食品超市,,
金针菇,安徽省砀山县双联罐头食品厂,1,0,1,砀山城关镇西城工业区,2016-04-01,1000g/袋,不合格 二氧化硫残留量║0.646g/kg║≤0.05g/kg,新密市超化镇昌汇水产门市,,
香辣大根,开原市东升食品有限公司,1,0,1,辽宁省开原市老城街头道沟村,2016-08-30,88g/袋,不合格 防腐剂各自用量占其最大使用量的比例之和║1.21║≤1；糖精钠║0.20g/kg║≤0.15g/kg,四平市铁西区万福来购物中心,,
油椒辣丁,牡丹江市西安区永泰调味品厂,1,0,1,牡丹江市西安区温春镇新立村,2016-09-12,90g/袋,不合格 苯甲酸║3.09g/kg║≤1.0g/kg,梨树县梨树镇金亿超市,,
辣白菜,海南辛香塬食品有限公司,1,0,1,海南省海口市新大洲大道三横路54号,2016-05-17,60克/袋,不合格 大肠菌群║230MPN/100g║≤30MPN/100g,海南辛香塬食品有限公司,,
水晶蒜,天津市福荣腌制食品厂,1,0,1,静海县陈官屯镇北长屯村104国道158.8公里处,2016-03-13,180g/袋,不合格 苯甲酸║1.20g/kg║≤1.0g/kg；糖精钠║0.36g/kg║≤0.15g/kg；防腐剂各自用量占其最大使用量的比例之和║1.23║≤1,吉林省佳乐加商贸有限公司,,
八宝菜,牡丹江市富利食品有限公司,1,0,1,黑龙江省牡丹江市东安区兴隆镇兴隆村八面通街南,2016-05-23,88g/袋,不合格 苯甲酸║1.17g/kg║≤1.0g/kg；防腐剂各自用量占其最大使用量的比例之和║1.60║≤1,敦化市欢乐购食品超市,,
香辣大根,牡丹江市富利食品有限公司,1,0,1,黑龙江省牡丹江市东安区兴隆镇兴隆村八面通街南,2016-05-23,88g/袋,不合格 防腐剂各自用量占其最大使用量的比例之和║1.26║≤1,敦化市欢乐购食品超市,,
小川椒,牡丹江市西安区永泰调味品厂,1,0,1,牡丹江市西安区温春镇新立村,2016-08-15,90g/袋,不合格 苯甲酸║3.06g/kg║≤1.0g/kg,敦化市欢乐购食品超市,,
油泼黄瓜,牡丹江市西安区永泰调味品厂,1,0,1,牡丹江市西安区温春镇新立村,2016-08-02,90g/袋,不合格 苯甲酸║2.30g/kg║≤1.0g/kg,敦化市家得乐大卖场,,
野山椒,高要市蛟塘天然果品厂,1,0,1,高要市蛟塘镇中学侧,2016-03-02,280克/瓶,不合格 苯甲酸及其钠盐（以苯甲酸计）‖1.50g/kg‖≤1.0g/kg,广州佐汇贸易有限公司,,
香辣芥丝,开原市东升食品有限公司,1,0,1,辽宁省开原市老城街头道沟村,2016-08-29,88g/袋,不合格 防腐剂各自用量占其最大使用量的比例之和║1.60║≤1；日落黄║0.021g/kg║不得检出,四平市铁西区万福来购物中心,,
辰麒山珍,五常市沙河子镇源奇山珍加工厂,1,0,1,哈尔滨市五常市沙河子镇,2016-05-05,3000g/桶,不合格 二氧化硫‖0.157 g/kg‖不得检出；乙二胺四乙酸二钠‖0.309 g/kg‖不得检出,铁锋区站前市场泓颜鲜菌批发行,,
辰禹美味山珍,五常市沙河子镇源奇山珍加工厂,1,0,1,哈尔滨市五常市沙河子镇,2016-10-01,3000g/桶,不合格 二氧化硫‖0.115 g/kg‖不得检出；乙二胺四乙酸二钠‖0.202 g/kg‖不得检出,铁锋区站前市场泓颜鲜菌批发行,,
松茸,中国·黑龙江省伊春市兴安塔有机食品有限公司,1,0,1,黑龙江省伊春市伊春区朝阳路2-11号,2016-11-01,200g/盒,不合格 总砷（以As计）‖23 mg/kg‖≤5.8 mg/kg；镉（以Cd计）‖14 mg/kg‖≤2.3 mg/kg,黑龙江农垦龙博经贸有限公司,,
同财酸菜,双城市君雨酱菜厂,1,0,1,双城市同心乡新富村,2016-09-01,750克/袋,不合格 二氧化硫‖0.142 g/kg‖≤0.1 g/kg,方正县客来悦食品超市,,
金针菇,安徽省砀山县双联罐头食品厂,1,0,1,砀山城关镇西城工业区,2016-04-01,1000g/袋,不合格 二氧化硫残留量║0.646g/kg║≤0.05g/kg,新密市超化镇昌汇水产门市,,
