food_name,production_name,check_num,qualified_num,unqualified_num,production_address,food_product_time,food_model,check_flag,sampling_name,sampling_province,check_projiect
香橙味果冻,郯城金盛源食品有限公司,1,0,1,郯城县港上镇一村,2015-08-15,称重,不合格 菌落总数‖13000cfu/g‖≤100cfu/g;大肠菌群‖40MPN/100g‖≤30MPN/100g,郯城金盛源食品有限公司,,
菠萝味低糖果冻,临沂百味果园食品有限公司,1,0,1,临沂市临沭县玉山镇唐岭村,2015-09-06,110g/杯,不合格 菌落总数‖27000cfu/g‖≤100cfu/g,临沂百味果园食品有限公司,,
我新我秀棒棒糖,武功县新秀绿色食品厂,1,0,1,陕西省咸阳市武功县乾北路北坡,2016-04-04,50g/个,不合格 大肠菌群‖40MPN/100g‖≤30MPN/100g,武功县新秀绿色食品厂,,
椒盐核桃果仁脆,西安秦和食品有限公司兴平分公司（被委托方）,1,0,1,兴平市汤坊乡龙兴村南,2015-11-01,228克/袋,不合格 大肠菌群‖90 MPN/100g‖≤30 MPN/100g,陕西民生家乐商业连锁有限责任公司民生家乐咸阳人民路店,,
双味棒硬糖,山东金月芽食品有限公司,1,0,1,临沂市郯城县马头镇驻地,2016-01-12,22g袋,不合格 甜蜜素‖0.66g/kg‖不得添加,山东金月芽食品有限公司,,
6味棒糖（菠萝味）,临沂杜福记食品有限公司,1,0,1,临沂市郯城县马头镇驻地,2016-01-24,称重（约200g/盒）,不合格 甜蜜素‖0.0088g/kg‖不得添加,临沂杜福记食品有限公司,,
菠萝味奶糖,沂水县美尔达食品有限公司,1,0,1,沂水县沂博路前石良村,2016-01-19,美尔达,不合格 甜蜜素‖0.021g/kg‖不得添加,沂水县美尔达食品有限公司,,
大虾酥(糖果),哈尔滨市道外区东旭食品一厂,1,0,1,哈尔滨市道外区民主乡友谊村,2015-12-30,计量称重,不合格 大肠菌群‖430MPN/100g‖≤90MPN/100g,双鸭山市尖山区华联超市,,
Q嚼（蓝莓味软糖）,广东利强食品实业有限公司,1,0,1,广东省潮安县庵埠霞露工业区,2015-08-15,338克/盒,不合格 环己基氨基磺酸钠(甜蜜素)‖0.52 g/kg‖不得添加,沂源县南麻宝旺食品经营部,,
薄荷丁,重庆市永川区康尔福食品厂,1,0,1,重庆市永川区火车站南路41号,2016-03-17,散装称重,不合格 二氧化硫残留量║0.2g/kg║≤0.1g/kg,代成,,
佳源糖果,汕头市佳源食品有限公司,1,0,1,汕头市龙湖区蔡社工业区,2016-05-12,240克/袋,不合格 大肠菌群‖1500MPN/100g‖≤440MPN/100g,陆丰市东海宏新食品购销部,,
新美卷心香芋香芋奶味糖（砂质型）,汕头市龙湖区新美糖果厂,1,0,1,汕头市龙湖区蔡社工业区,2016-04-25,320克/袋,不合格 大肠菌群‖11000MPN/100g‖≤440MPN/100g,揭阳市蓝城区月城镇世纪捷龙便利店,,
绿茶（绿茶味味软糖）,汕头市多客食品实业有限公司,1,0,1,汕头市金平区庵揭公路北侧石部烳田片之一,2016-05-01,280克/盒,不合格 大肠菌群‖1500MPN/100g‖≤440MPN/100g,宝盛副食品贸易商行,,
泡弹含片糖（雪柠味）,潮州市活力食品有限公司,1,0,1,潮州市潮安区庵埠镇庵凤路郭四古井桥脚,2016-05-01,15克/袋,不合格 乙酰磺胺酸钾（安赛蜜）‖3.80g/kg‖≤2.0g/kg,广州市海珠区良和食品经营部,,
泡弹含片糖（可乐味）,潮州市活力食品有限公司,1,0,1,潮州市潮安区庵埠镇庵凤路郭四古井桥脚,2016-05-01,15克/袋,不合格 乙酰磺胺酸钾（安赛蜜）‖4.07g/kg‖≤2.0g/kg,广州市海珠区良和食品经营部,,
食神画笔糖,潮州市潮安区日新工贸有限公司,1,0,1,广东省潮州市潮安区庵埠庄陇工业区1路2号,2016-03-16,240ml/盒,不合格 环己基氨基磺酸钠（甜蜜素）‖0.12g/kg‖不得添加,阳江市江城区聚鑫食品商行,,
皮糖,天津皮糖张科技有限公司,1,0,1,宝坻区黄庄镇产业功能区一号路东2号,生产2015年12月01日,480g/袋,不合格 菌落总数||1400CFU/g||≤1000CFU/g,天津桂发祥十八街麻花食品股份有限公司,,
鸟结糖,天津市山美食品有限公司,1,0,1,天津市武清区梅厂镇王唐庄村北口,2016-3-23,268克/盒,不合格 菌落总数||32000CFU/g||≤20000CFU/g,天津桂发祥十八街麻花食品股份有限公司万德庄店,,
6味棒,郯城玉源食品有限公司,1,0,1,山东省临沂市郯城县马头镇繁荣街,2015-09-08,称重,不合格 甜蜜素‖0.0069g/kg‖不得添加,郯城玉源食品有限公司,,
玉米棒奶糖,郯城瑞康食品有限公司,1,0,1,郯城县马头镇南新庄街,2015-09-03,称重,不合格 甜蜜素‖0.015g/kg‖不得添加,郯城瑞康食品有限公司,,
香橙味果冻,郯城金盛源食品有限公司,1,0,1,郯城县港上镇一村,2015-08-15,称重,不合格 菌落总数‖13000cfu/g‖≤100cfu/g;大肠菌群‖40MPN/100g‖≤30MPN/100g,郯城金盛源食品有限公司,,
菠萝味低糖果冻,临沂百味果园食品有限公司,1,0,1,临沂市临沭县玉山镇唐岭村,2015-09-06,110g/杯,不合格 菌落总数‖27000cfu/g‖≤100cfu/g,临沂百味果园食品有限公司,,
我新我秀棒棒糖,武功县新秀绿色食品厂,1,0,1,陕西省咸阳市武功县乾北路北坡,2016-04-04,50g/个,不合格 大肠菌群‖40MPN/100g‖≤30MPN/100g,武功县新秀绿色食品厂,,
椒盐核桃果仁脆,西安秦和食品有限公司兴平分公司（被委托方）,1,0,1,兴平市汤坊乡龙兴村南,2015-11-01,228克/袋,不合格 大肠菌群‖90 MPN/100g‖≤30 MPN/100g,陕西民生家乐商业连锁有限责任公司民生家乐咸阳人民路店,,
双味棒硬糖,山东金月芽食品有限公司,1,0,1,临沂市郯城县马头镇驻地,2016-01-12,22g袋,不合格 甜蜜素‖0.66g/kg‖不得添加,山东金月芽食品有限公司,,
6味棒糖（菠萝味）,临沂杜福记食品有限公司,1,0,1,临沂市郯城县马头镇驻地,2016-01-24,称重（约200g/盒）,不合格 甜蜜素‖0.0088g/kg‖不得添加,临沂杜福记食品有限公司,,
菠萝味奶糖,沂水县美尔达食品有限公司,1,0,1,沂水县沂博路前石良村,2016-01-19,美尔达,不合格 甜蜜素‖0.021g/kg‖不得添加,沂水县美尔达食品有限公司,,
大虾酥(糖果),哈尔滨市道外区东旭食品一厂,1,0,1,哈尔滨市道外区民主乡友谊村,2015-12-30,计量称重,不合格 大肠菌群‖430MPN/100g‖≤90MPN/100g,双鸭山市尖山区华联超市,,
Q嚼（蓝莓味软糖）,广东利强食品实业有限公司,1,0,1,广东省潮安县庵埠霞露工业区,2015-08-15,338克/盒,不合格 环己基氨基磺酸钠(甜蜜素)‖0.52 g/kg‖不得添加,沂源县南麻宝旺食品经营部,,
薄荷丁,重庆市永川区康尔福食品厂,1,0,1,重庆市永川区火车站南路41号,2016-03-17,散装称重,不合格 二氧化硫残留量║0.2g/kg║≤0.1g/kg,代成,,
佳源糖果,汕头市佳源食品有限公司,1,0,1,汕头市龙湖区蔡社工业区,2016-05-12,240克/袋,不合格 大肠菌群‖1500MPN/100g‖≤440MPN/100g,陆丰市东海宏新食品购销部,,
新美卷心香芋香芋奶味糖（砂质型）,汕头市龙湖区新美糖果厂,1,0,1,汕头市龙湖区蔡社工业区,2016-04-25,320克/袋,不合格 大肠菌群‖11000MPN/100g‖≤440MPN/100g,揭阳市蓝城区月城镇世纪捷龙便利店,,
绿茶（绿茶味味软糖）,汕头市多客食品实业有限公司,1,0,1,汕头市金平区庵揭公路北侧石部烳田片之一,2016-05-01,280克/盒,不合格 大肠菌群‖1500MPN/100g‖≤440MPN/100g,宝盛副食品贸易商行,,
泡弹含片糖（雪柠味）,潮州市活力食品有限公司,1,0,1,潮州市潮安区庵埠镇庵凤路郭四古井桥脚,2016-05-01,15克/袋,不合格 乙酰磺胺酸钾（安赛蜜）‖3.80g/kg‖≤2.0g/kg,广州市海珠区良和食品经营部,,
泡弹含片糖（可乐味）,潮州市活力食品有限公司,1,0,1,潮州市潮安区庵埠镇庵凤路郭四古井桥脚,2016-05-01,15克/袋,不合格 乙酰磺胺酸钾（安赛蜜）‖4.07g/kg‖≤2.0g/kg,广州市海珠区良和食品经营部,,
食神画笔糖,潮州市潮安区日新工贸有限公司,1,0,1,广东省潮州市潮安区庵埠庄陇工业区1路2号,2016-03-16,240ml/盒,不合格 环己基氨基磺酸钠（甜蜜素）‖0.12g/kg‖不得添加,阳江市江城区聚鑫食品商行,,
皮糖,天津皮糖张科技有限公司,1,0,1,宝坻区黄庄镇产业功能区一号路东2号,生产2015年12月01日,480g/袋,不合格 菌落总数||1400CFU/g||≤1000CFU/g,天津桂发祥十八街麻花食品股份有限公司,,
鸟结糖,天津市山美食品有限公司,1,0,1,天津市武清区梅厂镇王唐庄村北口,2016-3-23,268克/盒,不合格 菌落总数||32000CFU/g||≤20000CFU/g,天津桂发祥十八街麻花食品股份有限公司万德庄店,,
6味棒,郯城玉源食品有限公司,1,0,1,山东省临沂市郯城县马头镇繁荣街,2015-09-08,称重,不合格 甜蜜素‖0.0069g/kg‖不得添加,郯城玉源食品有限公司,,
玉米棒奶糖,郯城瑞康食品有限公司,1,0,1,郯城县马头镇南新庄街,2015-09-03,称重,不合格 甜蜜素‖0.015g/kg‖不得添加,郯城瑞康食品有限公司,,
香橙味果冻,郯城金盛源食品有限公司,1,0,1,郯城县港上镇一村,2015-08-15,称重,不合格 菌落总数‖13000cfu/g‖≤100cfu/g;大肠菌群‖40MPN/100g‖≤30MPN/100g,郯城金盛源食品有限公司,,
菠萝味低糖果冻,临沂百味果园食品有限公司,1,0,1,临沂市临沭县玉山镇唐岭村,2015-09-06,110g/杯,不合格 菌落总数‖27000cfu/g‖≤100cfu/g,临沂百味果园食品有限公司,,
我新我秀棒棒糖,武功县新秀绿色食品厂,1,0,1,陕西省咸阳市武功县乾北路北坡,2016-04-04,50g/个,不合格 大肠菌群‖40MPN/100g‖≤30MPN/100g,武功县新秀绿色食品厂,,
椒盐核桃果仁脆,西安秦和食品有限公司兴平分公司（被委托方）,1,0,1,兴平市汤坊乡龙兴村南,2015-11-01,228克/袋,不合格 大肠菌群‖90 MPN/100g‖≤30 MPN/100g,陕西民生家乐商业连锁有限责任公司民生家乐咸阳人民路店,,
双味棒硬糖,山东金月芽食品有限公司,1,0,1,临沂市郯城县马头镇驻地,2016-01-12,22g袋,不合格 甜蜜素‖0.66g/kg‖不得添加,山东金月芽食品有限公司,,
6味棒糖（菠萝味）,临沂杜福记食品有限公司,1,0,1,临沂市郯城县马头镇驻地,2016-01-24,称重（约200g/盒）,不合格 甜蜜素‖0.0088g/kg‖不得添加,临沂杜福记食品有限公司,,
菠萝味奶糖,沂水县美尔达食品有限公司,1,0,1,沂水县沂博路前石良村,2016-01-19,美尔达,不合格 甜蜜素‖0.021g/kg‖不得添加,沂水县美尔达食品有限公司,,
大虾酥(糖果),哈尔滨市道外区东旭食品一厂,1,0,1,哈尔滨市道外区民主乡友谊村,2015-12-30,计量称重,不合格 大肠菌群‖430MPN/100g‖≤90MPN/100g,双鸭山市尖山区华联超市,,
Q嚼（蓝莓味软糖）,广东利强食品实业有限公司,1,0,1,广东省潮安县庵埠霞露工业区,2015-08-15,338克/盒,不合格 环己基氨基磺酸钠(甜蜜素)‖0.52 g/kg‖不得添加,沂源县南麻宝旺食品经营部,,
薄荷丁,重庆市永川区康尔福食品厂,1,0,1,重庆市永川区火车站南路41号,2016-03-17,散装称重,不合格 二氧化硫残留量║0.2g/kg║≤0.1g/kg,代成,,
我新我秀棒棒糖,武功县新秀绿色食品厂,1,0,1,陕西省咸阳市武功县乾北路北坡,2016-04-04,50g/个,不合格 大肠菌群‖40MPN/100g‖≤30MPN/100g,武功县新秀绿色食品厂,,
椒盐核桃果仁脆,西安秦和食品有限公司兴平分公司（被委托方）,1,0,1,兴平市汤坊乡龙兴村南,2015-11-01,228克/袋,不合格 大肠菌群‖90 MPN/100g‖≤30 MPN/100g,陕西民生家乐商业连锁有限责任公司民生家乐咸阳人民路店,,
双味棒硬糖,山东金月芽食品有限公司,1,0,1,临沂市郯城县马头镇驻地,2016-01-12,22g袋,不合格 甜蜜素‖0.66g/kg‖不得添加,山东金月芽食品有限公司,,
6味棒糖（菠萝味）,临沂杜福记食品有限公司,1,0,1,临沂市郯城县马头镇驻地,2016-01-24,称重（约200g/盒）,不合格 甜蜜素‖0.0088g/kg‖不得添加,临沂杜福记食品有限公司,,
菠萝味奶糖,沂水县美尔达食品有限公司,1,0,1,沂水县沂博路前石良村,2016-01-19,美尔达,不合格 甜蜜素‖0.021g/kg‖不得添加,沂水县美尔达食品有限公司,,
大虾酥(糖果),哈尔滨市道外区东旭食品一厂,1,0,1,哈尔滨市道外区民主乡友谊村,2015-12-30,计量称重,不合格 大肠菌群‖430MPN/100g‖≤90MPN/100g,双鸭山市尖山区华联超市,,
Q嚼（蓝莓味软糖）,广东利强食品实业有限公司,1,0,1,广东省潮安县庵埠霞露工业区,2015-08-15,338克/盒,不合格 环己基氨基磺酸钠(甜蜜素)‖0.52 g/kg‖不得添加,沂源县南麻宝旺食品经营部,,
薄荷丁,重庆市永川区康尔福食品厂,1,0,1,重庆市永川区火车站南路41号,2016-03-17,散装称重,不合格 二氧化硫残留量║0.2g/kg║≤0.1g/kg,代成,,
